chart,rater,answer
PP-CR-dd06-we05-sano-ro000-pa01-ad09-ftse-fs16-llcr-sm0,0000088c-c967-4546-b6e8-1f5aaedb6dd4,1
PB-MG-dd06-gr00-pa03-sano-bw6-boh-bs000-e11a1-ftse-fs16-llur-sm0,00057031-904d-4702-8adf-688150c4a173,1
PB-MG-dd06-gr00-pa05-sa00-bw6-bov-bs000-e10a1-ftse-fs16-llur-sm0,00028874-a45c-465b-bd03-295cb090345d,1
PP-MB-dd02-we05-sa00-ro000-pa03-ad09-ftse-fs16-llcr-sm0,0018a767-c81f-4a9a-967b-692a445ddefe,1
PP-CL-dd02-we05-sano-ro000-pa05-ad09-ftse-fs16-llcr-sm0,00003ae2-ba77-4331-9525-2a7b89416468,1
PD-CL-dd12-dh5-we05-sano-ro000-pa05-ad09-ftse-fs16-llcr-sm0,0000e57e-dadf-4591-aeee-eea76e6e9299,1
PB-CR-dd06-gr00-pa01-sa00-bw6-boh-bs000-e10a1-ftse-fs16-llur-sm0,0000085f-93a7-4d9b-9e95-64f6e0508596,1
PB-MB-dd06-gr00-pa01-sano-bw6-boh-bs000-e00a1-ftse-fs16-llur-sm0,000e3468-ec33-4e75-b539-3cc8f167a41d,1
PB-MG-dd06-gr00-pano-sano-bw6-boh-bs000-e00a0-ftse-fs16-llur-sm0,00057031-904d-4702-8adf-688150c4a173,1
PP-CR-dd02-we05-sa00-ro000-pa05-ad09-ftse-fs16-llcr-sm0,000b5526-d49d-46f6-ac0a-2f2d16cf80b2,1
PP-MG-dd06-we05-sa00-ro000-pa01-ad09-ftse-fs16-llcr-sm0,00015b35-7f05-4422-b141-0f254cc110c6,1
PP-CL-dd06-we05-sano-ro000-pano-ad09-ftse-fs16-llcr-sm0,00002606-ab44-4571-b018-772ebb354e8b,1
PP-CL-dd12-we05-sa00-ro000-pa03-ad09-ftse-fs16-llcr-sm0,0002756a-f5cc-4d4c-8420-ce61a968c4c9,1
PD-CR-dd06-dh5-we05-sa00-ro000-pa03-ad09-ftse-fs16-llcr-sm0,0000007d-61a0-4427-9940-e695d8ce49dc,1
PP-CR-dd06-we05-sano-ro000-pa03-ad09-ftse-fs16-llcr-sm0,0001cbb2-eced-423d-a149-f6ea8cb4e631,1
PP-CL-dd06-we05-sano-ro000-pa03-ad09-ftse-fs16-llcr-sm0,00007a14-1e23-4731-b392-1a04574385b4,1
PD-MG-dd02-dh5-we05-sa00-ro000-pa03-ad09-ftse-fs16-llcr-sm0,00003ae2-ba77-4331-9525-2a7b89416468,1
PD-CL-dd12-dh5-we05-sa00-ro000-pa01-ad09-ftse-fs16-llcr-sm0,0002adc7-eefc-415d-8195-d3e7147b6270,1
PB-MB-dd06-gr00-pa05-sa00-bw6-boh-bs000-e00a1-ftse-fs16-llur-sm0,00039049-711b-4624-b945-daa535a8b5bb,1
PD-CL-dd12-dh5-we05-sa00-ro000-pano-ad09-ftse-fs16-llcr-sm0,00003ae2-ba77-4331-9525-2a7b89416468,1
PP-CL-dd06-we05-sa00-ro000-pa01-ad09-ftse-fs16-llcr-sm0,00000df9-60c9-4e3b-8226-049a1d91165e,1
PD-MG-dd06-dh5-we05-sano-ro000-pa05-ad09-ftse-fs16-llcr-sm0,00063156-efbe-4e29-af44-8f7ed3ba6a97,1
PP-MB-dd12-we05-sa00-ro000-pa03-ad09-ftse-fs16-llcr-sm0,000d0f38-2bfb-4ebd-9ce0-c7f596e27680,1
PD-CR-dd02-dh5-we05-sano-ro000-pa01-ad09-ftse-fs16-llcr-sm0,0000588e-87a5-423c-8f41-f00afdc4ef29,1
PP-MB-dd02-we05-sano-ro000-pa01-ad09-ftse-fs16-llcr-sm0,00d0e696-72c5-41f2-bcae-59f0695e4fdb,1
PP-CR-dd12-we05-sano-ro000-pa03-ad09-ftse-fs16-llcr-sm0,0000d60e-54c2-4b39-a3f4-3e60feef3671,1
PP-MB-dd02-we05-sano-ro000-pano-ad09-ftse-fs16-llcr-sm0,0000c37a-dd1a-416a-9e44-38c42ca1477f,1
PB-MG-dd06-gr00-pa01-sa00-bw6-boh-bs000-e00a1-ftse-fs16-llur-sm0,000105ec-cd96-4c06-8ab0-54f99ccee885,1
PB-MB-dd06-gr00-pa01-sano-bw6-boh-bs000-e11a1-ftse-fs16-llur-sm0,00163638-8f36-45c2-8717-e5fcc5f90db1,1
PB-CR-dd06-gr00-pano-sa00-bw6-boh-bs000-e10a1-ftse-fs16-llur-sm0,00059677-8912-4e23-bedc-7582e5b2257e,1
PB-CL-dd06-gr00-pano-sa00-bw6-bov-bs000-e00a0-ftse-fs16-llur-sm0,00025c33-6fdb-4b37-9dbc-474765462476,1
PB-CR-dd06-gr00-pa03-sano-bw6-boh-bs000-e10a1-ftse-fs16-llur-sm0,000c7750-77d1-4c90-b8c0-99ea55bcef68,1
PB-CL-dd06-gr00-pano-sa00-bw6-boh-bs000-e10a1-ftse-fs16-llur-sm0,00061ceb-544f-4ded-974a-ec39fee2385d,1
PB-CR-dd06-gr00-pa03-sa00-bw6-boh-bs000-e11a1-ftse-fs16-llur-sm0,00002606-ab44-4571-b018-772ebb354e8b,1
PB-CR-dd06-gr00-pano-sa00-bw6-bov-bs000-e10a1-ftse-fs16-llur-sm0,0003dc49-fa50-4dfe-95a3-095d7d6ef82c,1
PB-MG-dd06-gr00-pa05-sa00-bw6-bov-bs000-e11a1-ftse-fs16-llur-sm0,000d21fc-e5ef-455f-9c20-bbbe51c614de,1
PP-MG-dd12-we05-sa00-ro000-pa05-ad09-ftse-fs16-llcr-sm0,00003ae2-ba77-4331-9525-2a7b89416468,1
PP-CR-dd02-we05-sano-ro000-pano-ad09-ftse-fs16-llcr-sm0,0011cc6c-9b88-482e-8ce0-0997ab6066c0,1
PD-MG-dd02-dh5-we05-sano-ro000-pano-ad09-ftse-fs16-llcr-sm0,00038103-a6b4-4aa3-92f9-97e7662163c4,1
PP-MG-dd06-we05-sa00-ro000-pano-ad09-ftse-fs16-llcr-sm0,00000230-1437-4850-a93e-84159d8f75b8,1
